Gambler #,Round #,Times optimal action picked,Average reward 
97,1100,1,80.7,202
97,1200,1,88.8,231
97,1300,1,95.8,253
97,1400,1,103.3,277
97,1500,1,110.2,303
97,1600,1,117.5,330
97,1700,1,125.0,345
97,1800,1,131.8,359
97,1900,1,139.3,383
97,2000,1,146.7,404
97,2100,1,154.8,420
97,2200,1,162.8,436
97,2300,1,169.8,460
97,2400,1,177.6,479
97,2500,1,184.9,501
97,2600,1,191.6,519
97,2700,1,198.8,542
97,2800,1,206.7,567
97,2900,1,213.9,594
97,3000,1,221.2,621
97,3100,1,228.8,648
97,3200,1,236.4,672
97,3300,1,243.7,693
97,3400,1,251.6,722
97,3500,1,259.1,750
97,3600,1,266.8,780
97,3700,1,275.1,810
97,3800,1,282.4,848
97,3900,1,289.8,873
97,4000,1,297.9,893
97,4100,1,305.2,911
97,4200,1,312.6,937
97,4300,1,321.1,964
97,4400,1,328.7,991
97,4500,1,336.9,1031
97,4600,1,345.5,1072
97,4700,1,353.1,1111
97,4800,1,361.0,1152
97,4900,1,369.6,1197
97,5000,1,377.3,1228
98,0,5,0.0,0
98,100,5,3.2,7
98,200,5,7.4,23
98,300,5,11.5,41
98,400,5,16.3,57
98,500,5,22.0,79
98,600,5,28.2,103
98,700,5,33.5,130
98,800,5,39.3,159
98,900,5,45.3,193
98,1000,5,50.8,232
98,1100,5,57.0,272
98,1200,5,62.5,303
98,1300,5,68.1,337
98,1400,5,73.8,366
98,1500,5,80.1,400
98,1600,5,86.9,448
98,1700,5,92.8,490
98,1800,5,99.4,532
98,1900,5,105.6,578
98,2000,5,111.7,625
98,2100,5,118.3,684
98,2200,5,125.8,749
98,2300,5,132.6,811
98,2400,5,139.6,866
98,2500,5,145.9,925
98,2600,5,153.4,985
98,2700,5,160.5,1044
98,2800,5,167.7,1106
98,2900,5,175.5,1174
98,3000,5,183.8,1243
98,3100,5,190.6,1304
98,3200,5,198.3,1374
98,3300,5,205.6,1435
98,3400,5,212.5,1486
98,3500,5,219.6,1545
98,3600,5,225.8,1592
98,3700,5,231.7,1639
98,3800,5,237.6,1692
98,3900,5,243.3,1738
98,4000,5,250.5,1792
98,4100,5,257.4,1847
98,4200,5,264.6,1908
98,4300,5,271.9,1968
98,4400,5,279.3,2039
98,4500,5,287.5,2106
98,4600,5,295.0,2171
98,4700,5,303.3,2237
98,4800,5,310.0,2298
98,4900,5,317.2,2364
98,5000,5,324.8,2434
99,0,5,0.0,0
99,100,5,6.3,9
99,200,5,14.3,31
99,300,5,22.2,55
99,400,5,30.5,84
99,500,5,38.9,113
99,600,5,47.3,141
99,700,5,55.6,164
99,800,5,63.4,190
99,900,5,71.3,207
99,1000,5,80.2,237
99,1100,5,89.3,268
99,1200,5,97.8,297
99,1300,5,107.0,335
99,1400,5,115.9,369
99,1500,5,125.0,406
99,1600,5,133.6,458
99,1700,5,142.8,514
99,1800,5,152.2,569
99,1900,5,161.5,625
99,2000,5,170.9,675
99,2100,5,180.1,722
99,2200,5,189.2,768
99,2300,5,198.0,804
99,2400,5,206.5,839
99,2500,5,215.2,875
99,2600,5,223.9,915
99,2700,5,232.4,960
99,2800,5,242.0,1011
99,2900,5,251.5,1063
99,3000,5,260.6,1119
99,3100,5,270.4,1172
99,3200,5,279.7,1235
99,3300,5,289.4,1299
99,3400,5,298.5,1372
99,3500,5,307.9,1447
99,3600,5,317.1,1515
99,3700,5,326.0,1580
99,3800,5,334.9,1637
99,3900,5,343.7,1700
99,4000,5,352.4,1752
99,4100,5,361.0,1820
99,4200,5,370.0,1883
99,4300,5,378.4,1946
99,4400,5,386.6,1990
99,4500,5,394.8,2033
99,4600,5,404.0,2082
99,4700,5,413.3,2141
99,4800,5,422.7,2195
99,4900,5,432.5,2256
99,5000,5,441.4,2314
